Name,POS,Age,HT,WT,NAT,APP,SUB,G,A,SH,ST,FC,FA
Victor Lindelöf2,D,30,1.88 m,78 kg,Sweden,13,9,0,0,0,0,7,1
Noussair Mazraoui3,D,27,1.83 m,63 kg,Morocco,34,3,0,1,12,2,33,22
Matthijs de Ligt4,D,25,1.88 m,87 kg,Netherlands,29,4,2,0,16,7,15,12
Harry Maguire5,D,32,1.93 m,88 kg,England,24,7,1,0,12,5,17,9
Lisandro Martínez6,D,27,1.75 m,72 kg,Argentina,20,0,2,1,16,6,22,7
Patrick Dorgu13,D,20,1.85 m,68 kg,Denmark,9,1,0,0,9,2,13,20
Leny Yoro15,D,19,1.91 m,83 kg,France,20,9,0,0,5,1,9,2
Diogo Dalot20,D,26,1.83 m,78 kg,Portugal,32,1,0,3,23,5,40,10
Luke Shaw23,D,29,1.78 m,78 kg,England,5,3,0,0,2,1,2,0
Mason Mount7,M,26,1.8 m,76 kg,England,14,9,1,0,12,5,14,7
Bruno Fernandes8,M,30,1.78 m,66 kg,Portugal,33,1,8,9,84,27,24,37
Christian Eriksen14,M,33,1.83 m,76 kg,Denmark,21,10,0,2,12,0,8,3
Casemiro18,M,33,1.85 m,83 kg,Brazil,22,6,1,0,30,8,17,18
Manuel Ugarte25,M,24,1.83 m,77 kg,Uruguay,27,6,1,2,18,4,38,33
Kobbie Mainoo37,M,20,1.75 m,72 kg,England,22,4,0,1,11,2,25,20
Toby Collyer43,M,21,1.8 m,73 kg,England,6,6,0,0,1,0,1,4
Rasmus Højlund9,F,22,1.91 m,86 kg,Denmark,29,9,4,0,27,11,15,26
Joshua Zirkzee11,F,23,1.93 m,83 kg,Netherlands,32,18,3,1,27,11,9,13
Amad16,F,22,1.73 m,72 kg,Ivory Coast,23,6,7,6,40,14,19,24
Alejandro Garnacho17,F,20,1.8 m,73 kg,Argentina,34,11,6,2,83,28,11,42
Chido Obi56,F,17,1.88 m,68 kg,Denmark,6,5,0,0,4,1,3,1
