Name,POS,Age,HT,WT,NAT,APP,SUB,G,A,SH,ST,FC,FA
Victor Lindelöf,D,30,1.88 m,78 kg,Sweden,13,9,0,0,0,0,7,1
Noussair Mazraoui,D,27,1.83 m,63 kg,Morocco,34,3,0,1,12,2,33,22
Matthijs de Ligt,D,25,1.88 m,87 kg,Netherlands,29,4,0,0,16,7,15,12
Harry Maguire,D,32,1.93 m,88 kg,England,24,7,2,1,12,5,17,9
Lisandro Martínez,D,27,1.75 m,72 kg,Argentina,20,0,0,1,16,6,22,7
Patrick Dorgu,D,20,1.85 m,68 kg,Denmark,9,1,0,0,9,2,13,20
Leny Yoro,D,19,1.91 m,83 kg,France,20,9,1,0,5,1,9,2
Diogo Dalot,D,26,1.83 m,78 kg,Portugal,32,1,3,0,23,5,40,10
Luke Shaw,D,29,1.78 m,78 kg,England,5,3,0,0,2,1,2,0
Mason Mount,M,26,1.8 m,76 kg,England,14,9,2,1,12,5,14,7
Bruno Fernandes,M,30,1.78 m,66 kg,Portugal,33,1,7,4,84,27,24,37
Christian Eriksen,M,33,1.83 m,76 kg,Denmark,21,10,2,2,12,0,8,3
Casemiro,M,33,1.85 m,83 kg,Brazil,22,6,2,2,30,8,17,18
Manuel Ugarte,M,24,1.83 m,77 kg,Uruguay,27,6,1,4,18,4,38,33
Kobbie Mainoo,M,20,1.75 m,72 kg,England,22,4,2,1,11,2,25,20
Toby Collyer,M,21,1.8 m,73 kg,England,6,6,0,0,1,0,1,4
Rasmus Højlund,F,22,1.91 m,86 kg,Denmark,29,9,6,2,27,11,15,26
Joshua Zirkzee,F,23,1.93 m,83 kg,Netherlands,32,18,2,1,27,11,9,13
Amad,F,22,1.73 m,72 kg,Ivory Coast,23,6,2,1,40,14,19,24
Alejandro Garnacho,F,20,1.8 m,73 kg,Argentina,34,11,1,4,83,28,11,42
Chido Obi,F,17,1.88 m,68 kg,Denmark,6,5,0,0,4,1,3,1
